longitudinal_ha,transversal_ha,unite,famille_id/id,code_article,longueur,largeur,poids_unit,diametre,diametre_longitudinal,maille_longitudinal,maille_transversal
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAX3250,3250,,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAX2250,2250,,1.00000000e+00,5.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC19L,6000,2400,1.18223999e+02,1.00000000e+01,1.00000000e+01,150,150
,,Kg,production.production_famille_barres_dressees_coupees,"FMD5,5X2000",2000,,1.00000000e+00,5.50000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,"FMD5,5X3000",3000,,1.00000000e+00,5.50000000e+00,,,
,,Kg,production.production_famille_fil_machine,FLM12,,,1.00000000e+00,1.20000000e+01,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC1L,6000,2400,2.21760006e+01,5.00000000e+00,5.00000000e+00,200,200
,HA,Kg,production.production_famille_fil_crante,CRR9,,,1.00000000e+00,9.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD9HAX2400,2400,,1.00000000e+00,9.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD9HAX2950,2950,,1.00000000e+00,9.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC16S1,2950,2400,4.75999985e+01,9.00000000e+00,9.00000000e+00,150,150
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAX3100,3100,,1.00000000e+00,6.00000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,"TRD10,6X3010",3010,,1.00000000e+00,1.06000004e+01,,,
,,U,production.production_famille_treillis_soudes,CLRS3,2600,1440,1.61000004e+01,5.00000000e+00,5.00000000e+00,50,200
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx2000,,2000,1.00000000e+00,6.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx1000,1000,,1.00000000e+00,6.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC4S3,2000,1000,5.10599995e+00,6.00000000e+00,6.00000000e+00,150,150
HA,HA,U,production.production_famille_treillis_soudes,3Barres,2400,300,3.19700003e+00,6.00000000e+00,6.00000000e+00,100,100
HA,HA,U,production.production_famille_treillis_soudes,4Barres,2400,400,4.26200008e+00,6.00000000e+00,6.00000000e+00,100,100
,,Kg,production.production_famille_barres_dressees_coupees,FMD14X2585,2585,,1.00000000e+00,1.40000000e+01,,,
,,Kg,production.production_famille_barres_dressees_coupees,TRD5x3800,3800,,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD9X2250,2250,,1.00000000e+00,9.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD9X3000,3000,,1.00000000e+00,9.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC16S2,3000,2250,4.50000000e+01,9.00000000e+00,9.00000000e+00,150,150
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD12HAX2300,2300,,1.00000000e+00,1.20000000e+01,,,
HA,HA,U,production.production_famille_treillis_soudes,ERB4,1400,2300,2.03799992e+01,1.20000000e+01,8.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,ERB5,1400,3800,3.24690018e+01,1.20000000e+01,8.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,ERB6,1400,2050,1.00920000e+01,8.00000000e+00,8.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,ERB7,1400,2100,1.18889999e+01,8.00000000e+00,8.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,ERB8,1800,1400,6.84100008e+00,6.00000000e+00,8.00000000e+00,250,200
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAX2050,2050,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD12HAX3800,3800,,1.00000000e+00,1.20000000e+01,,,
HA,HA,U,production.production_famille_treillis_soudes,ERB9,1400,900,3.42000008e+00,6.00000000e+00,8.00000000e+00,250,200
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAX1550,1550,,2.38999993e-01,5.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,PTS5,3300,1550,1.49919996e+01,5.00000000e+00,5.00000000e+00,100,100
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAX3950,3950,,6.07999980e-01,5.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC7S2,6000,2200,5.21399994e+01,8.00000000e+00,8.00000000e+00,200,200
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD10HAX2000,2000,,1.32400000e+00,1.00000000e+01,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAX4000,4000,,1.58000004e+00,8.00000000e+00,,,
